elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.01039, 10.01039, 135349, 232, 366.0, 359, 466, 509, 560, 8910, 0
20.017755, 10.007365, 71994, 241, 374.6, 367, 481, 528, 593, 17428, 0
30.0163, 9.998545, 101661, 242, 376.2, 368, 485, 533, 596, 54284, 0
40.004515, 9.988215, 100890, 244, 375.2, 368, 484, 529, 585, 11410, 0
50.00843, 10.003915, 99664, 242, 383.2, 376, 499, 546, 608, 11524, 0
60.014457, 10.006027, 93606, 241, 406.8, 402, 526, 572, 631, 10847, 0
70.018159, 10.003702, 96961, 242, 395.3, 388, 513, 562, 615, 50804, 0
80.002962, 9.984803, 97355, 243, 387.3, 379, 505, 554, 629, 12480, 0
90.009842, 10.00688, 96902, 240, 395.0, 389, 512, 557, 614, 12407, 0
100.002853, 9.993011, 102974, 242, 370.1, 361, 481, 530, 592, 10058, 0
110.015507, 10.012654, 96974, 243, 395.4, 389, 512, 558, 620, 60389, 0
120.013812, 9.998305, 97577, 242, 388.0, 381, 503, 551, 608, 12008, 0
130.005964, 9.992152, 100803, 241, 377.8, 370, 492, 538, 593, 10810, 0
140.00186, 9.995896, 99562, 240, 384.5, 378, 495, 541, 613, 123782, 0
150.010126, 10.008266, 100471, 242, 380.5, 370, 500, 552, 608, 166974, 0
160.013674, 10.003548, 101871, 243, 371.6, 364, 480, 528, 584, 10243, 0
170.013313, 9.999639, 102633, 242, 372.4, 365, 478, 528, 592, 41893, 0
180.013015, 9.999702, 98210, 242, 386.8, 378, 511, 561, 618, 12561, 0
190.022749, 10.009734, 97596, 239, 389.7, 384, 503, 547, 606, 12572, 0
200.024199, 10.00145, 101415, 240, 378.3, 372, 487, 533, 585, 60761, 0
210.005654, 9.981455, 99805, 240, 381.3, 372, 494, 542, 597, 160415, 0
220.006159, 10.000505, 97916, 242, 386.9, 381, 500, 546, 606, 11936, 0
230.003715, 9.997556, 99355, 238, 383.7, 376, 498, 543, 597, 10491, 0
240.008133, 10.004418, 99987, 238, 381.2, 374, 490, 535, 597, 26524, 0
250.004805, 9.996672, 99460, 244, 383.0, 376, 491, 535, 587, 117433, 0
260.012822, 10.008017, 96926, 240, 391.2, 385, 510, 556, 615, 10364, 0
270.013556, 10.000734, 101045, 241, 375.7, 367, 484, 536, 597, 95943, 0
280.02283, 10.009274, 100380, 242, 377.0, 369, 489, 539, 596, 10853, 0
290.022602, 9.999772, 102756, 241, 372.3, 363, 483, 535, 602, 33581, 0
300.015507, 9.992905, 99092, 239, 383.1, 377, 497, 542, 598, 12088, 0
301.071878, 1.056371, 8563, 239, 382.7, 376, 497, 542, 596, 11048, 0
