elapsed, window, total, successful, failed
10.01039, 10.01039, 135349, 135349, 0
20.017755, 10.007365, 71994, 71994, 0
30.0163, 9.998545, 101661, 101661, 0
40.004515, 9.988215, 100890, 100890, 0
50.00843, 10.003915, 99664, 99664, 0
60.014457, 10.006027, 93606, 93606, 0
70.018159, 10.003702, 96961, 96961, 0
80.002962, 9.984803, 97355, 97355, 0
90.009842, 10.00688, 96902, 96902, 0
100.002853, 9.993011, 102974, 102974, 0
110.015507, 10.012654, 96974, 96974, 0
120.013812, 9.998305, 97577, 97577, 0
130.005964, 9.992152, 100803, 100803, 0
140.00186, 9.995896, 99562, 99562, 0
150.010126, 10.008266, 100471, 100471, 0
160.013674, 10.003548, 101871, 101871, 0
170.013313, 9.999639, 102633, 102633, 0
180.013015, 9.999702, 98210, 98210, 0
190.022749, 10.009734, 97596, 97596, 0
200.024199, 10.00145, 101415, 101415, 0
210.005654, 9.981455, 99805, 99805, 0
220.006159, 10.000505, 97916, 97916, 0
230.003715, 9.997556, 99355, 99355, 0
240.008133, 10.004418, 99987, 99987, 0
250.004805, 9.996672, 99460, 99460, 0
260.012822, 10.008017, 96926, 96926, 0
270.013556, 10.000734, 101045, 101045, 0
280.02283, 10.009274, 100380, 100380, 0
290.022602, 9.999772, 102756, 102756, 0
300.015507, 9.992905, 99092, 99092, 0
301.071878, 1.056371, 8563, 8563, 0
