elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.017866, 10.017866, 91977, 374, 624.5, 619, 775, 829, 886, 15070, 0
20.028867, 10.011001, 33198, 398, 622.2, 614, 777, 834, 895, 90977, 0
30.03667, 10.007803, 62419, 391, 622.7, 614, 779, 840, 909, 149402, 0
40.016306, 9.979636, 62709, 400, 618.3, 612, 775, 836, 898, 17236, 0
50.036878, 10.020572, 60434, 410, 641.4, 636, 795, 850, 917, 18158, 0
60.024182, 9.987304, 64113, 385, 605.2, 598, 754, 810, 868, 52579, 0
70.03264, 10.008458, 62955, 390, 615.9, 609, 770, 828, 884, 18072, 0
80.025195, 9.992555, 63238, 396, 613.3, 606, 772, 836, 895, 16407, 0
90.035688, 10.010493, 65746, 396, 587.5, 583, 725, 780, 846, 4860, 0
100.020583, 9.984895, 65667, 393, 590.2, 583, 727, 784, 856, 136266, 0
110.022574, 10.001991, 64521, 397, 598.9, 593, 743, 799, 862, 7230, 0
120.021771, 9.999197, 63462, 390, 611.2, 605, 766, 830, 887, 17019, 0
130.017374, 9.995603, 64374, 403, 601.5, 596, 749, 808, 878, 4469, 0
140.015797, 9.998423, 64587, 389, 599.6, 594, 746, 805, 869, 16437, 0
150.019208, 10.003411, 63264, 392, 615.1, 606, 769, 833, 896, 149068, 0
160.024764, 10.005556, 63999, 399, 607.7, 600, 753, 813, 878, 154832, 0
170.010998, 9.986234, 65304, 393, 590.1, 584, 726, 780, 845, 7980, 0
180.027042, 10.016044, 64134, 395, 607.3, 600, 752, 814, 877, 136461, 0
190.03378, 10.006738, 65417, 393, 592.8, 585, 738, 799, 864, 52768, 0
200.02669, 9.99291, 63316, 389, 611.3, 605, 766, 824, 888, 5376, 0
210.017157, 9.990467, 64180, 399, 592.7, 587, 738, 798, 854, 7589, 0
220.02093, 10.003773, 62867, 396, 616.3, 611, 767, 822, 884, 4972, 0
230.025728, 10.004798, 63702, 395, 610.3, 605, 758, 817, 871, 35130, 0
240.021051, 9.995323, 63368, 393, 609.7, 604, 761, 818, 873, 17879, 0
250.00379, 9.982739, 63139, 394, 611.6, 607, 760, 815, 879, 5092, 0
260.013508, 10.009718, 64172, 398, 606.6, 600, 749, 801, 861, 137029, 0
270.019483, 10.005975, 63774, 393, 606.9, 601, 757, 812, 873, 14588, 0
280.021322, 10.001839, 63756, 396, 609.2, 601, 757, 819, 887, 133276, 0
290.015081, 9.993759, 63081, 396, 613.3, 607, 765, 823, 881, 18152, 0
300.018726, 10.003645, 62432, 388, 619.4, 615, 773, 827, 885, 8221, 0
301.122128, 1.103402, 6061, 388, 619.2, 614, 773, 825, 883, 16387, 0
