elapsed, window, total, successful, failed
10.017866, 10.017866, 91977, 91977, 0
20.028867, 10.011001, 33198, 33198, 0
30.03667, 10.007803, 62419, 62419, 0
40.016306, 9.979636, 62709, 62709, 0
50.036878, 10.020572, 60434, 60434, 0
60.024182, 9.987304, 64113, 64113, 0
70.03264, 10.008458, 62955, 62955, 0
80.025195, 9.992555, 63238, 63238, 0
90.035688, 10.010493, 65746, 65746, 0
100.020583, 9.984895, 65667, 65667, 0
110.022574, 10.001991, 64521, 64521, 0
120.021771, 9.999197, 63462, 63462, 0
130.017374, 9.995603, 64374, 64374, 0
140.015797, 9.998423, 64587, 64587, 0
150.019208, 10.003411, 63264, 63264, 0
160.024764, 10.005556, 63999, 63999, 0
170.010998, 9.986234, 65304, 65304, 0
180.027042, 10.016044, 64134, 64134, 0
190.03378, 10.006738, 65417, 65417, 0
200.02669, 9.99291, 63316, 63316, 0
210.017157, 9.990467, 64180, 64180, 0
220.02093, 10.003773, 62867, 62867, 0
230.025728, 10.004798, 63702, 63702, 0
240.021051, 9.995323, 63368, 63368, 0
250.00379, 9.982739, 63139, 63139, 0
260.013508, 10.009718, 64172, 64172, 0
270.019483, 10.005975, 63774, 63774, 0
280.021322, 10.001839, 63756, 63756, 0
290.015081, 9.993759, 63081, 63081, 0
300.018726, 10.003645, 62432, 62432, 0
301.122128, 1.103402, 6061, 6061, 0
