elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.008984, 10.008984, 151909, 234, 317.9, 314, 370, 398, 469, 8983, 0
20.004219, 9.995235, 90753, 241, 318.2, 313, 368, 398, 478, 133410, 0
30.006252, 10.002033, 119298, 239, 318.5, 312, 368, 400, 539, 141581, 0
40.005533, 9.999281, 119229, 239, 318.1, 311, 368, 406, 688, 98836, 0
50.001233, 9.9957, 119886, 242, 317.3, 312, 366, 396, 486, 86234, 0
60.00427, 10.003037, 118879, 241, 317.5, 312, 366, 395, 494, 32301, 0
70.006166, 10.001896, 122046, 239, 311.3, 307, 358, 386, 467, 10336, 0
80.007206, 10.00104, 122065, 235, 311.8, 307, 357, 384, 448, 29669, 0
90.003513, 9.996307, 121461, 239, 311.8, 307, 359, 392, 501, 14990, 0
100.010988, 10.007475, 120667, 239, 314.4, 307, 359, 392, 1031, 12079, 0
110.013927, 10.002939, 122235, 240, 311.6, 307, 358, 387, 487, 10133, 0
120.011855, 9.997928, 121616, 239, 311.8, 307, 358, 385, 457, 9777, 0
130.010016, 9.998161, 121916, 239, 313.7, 309, 360, 389, 473, 46043, 0
140.011001, 10.000985, 119327, 240, 315.7, 311, 364, 396, 555, 15706, 0
150.010289, 9.999288, 121341, 239, 313.3, 309, 360, 387, 460, 10307, 0
160.005479, 9.99519, 119903, 240, 317.8, 311, 366, 408, 871, 46619, 0
170.003238, 9.997759, 118894, 240, 317.0, 312, 366, 402, 624, 9787, 0
180.005723, 10.002485, 117817, 242, 322.0, 317, 375, 407, 550, 16667, 0
190.007958, 10.002235, 117818, 241, 322.1, 317, 375, 404, 496, 10203, 0
200.019754, 10.011796, 120182, 233, 316.3, 311, 365, 395, 493, 17014, 0
210.013754, 9.994, 120825, 242, 316.3, 312, 366, 394, 456, 47439, 0
220.010501, 9.996747, 120160, 238, 315.9, 306, 359, 393, 1070, 109152, 0
230.016006, 10.005505, 121851, 239, 311.5, 305, 358, 395, 743, 47467, 0
240.006005, 9.989999, 119781, 239, 313.7, 309, 363, 393, 513, 10786, 0
250.006325, 10.00032, 121274, 240, 315.6, 310, 364, 393, 494, 88200, 0
260.001531, 9.995206, 118094, 237, 317.5, 312, 367, 395, 478, 16864, 0
270.009658, 10.008127, 120611, 238, 317.9, 313, 369, 398, 489, 110430, 0
280.009725, 10.000067, 118674, 239, 317.0, 312, 368, 398, 473, 16717, 0
290.004982, 9.995257, 119262, 241, 318.4, 312, 370, 408, 662, 10359, 0
300.006717, 10.001735, 120624, 242, 316.9, 312, 368, 397, 468, 47088, 0
301.056169, 1.049452, 8802, 242, 316.7, 312, 367, 397, 476, 15983, 0
