elapsed, window, total, successful, failed
10.008984, 10.008984, 151909, 151909, 0
20.004219, 9.995235, 90753, 90753, 0
30.006252, 10.002033, 119298, 119298, 0
40.005533, 9.999281, 119229, 119229, 0
50.001233, 9.9957, 119886, 119886, 0
60.00427, 10.003037, 118879, 118879, 0
70.006166, 10.001896, 122046, 122046, 0
80.007206, 10.00104, 122065, 122065, 0
90.003513, 9.996307, 121461, 121461, 0
100.010988, 10.007475, 120667, 120667, 0
110.013927, 10.002939, 122235, 122235, 0
120.011855, 9.997928, 121616, 121616, 0
130.010016, 9.998161, 121916, 121916, 0
140.011001, 10.000985, 119327, 119327, 0
150.010289, 9.999288, 121341, 121341, 0
160.005479, 9.99519, 119903, 119903, 0
170.003238, 9.997759, 118894, 118894, 0
180.005723, 10.002485, 117817, 117817, 0
190.007958, 10.002235, 117818, 117818, 0
200.019754, 10.011796, 120182, 120182, 0
210.013754, 9.994, 120825, 120825, 0
220.010501, 9.996747, 120160, 120160, 0
230.016006, 10.005505, 121851, 121851, 0
240.006005, 9.989999, 119781, 119781, 0
250.006325, 10.00032, 121274, 121274, 0
260.001531, 9.995206, 118094, 118094, 0
270.009658, 10.008127, 120611, 120611, 0
280.009725, 10.000067, 118674, 118674, 0
290.004982, 9.995257, 119262, 119262, 0
300.006717, 10.001735, 120624, 120624, 0
301.056169, 1.049452, 8802, 8802, 0
