elapsed, window, total, successful, failed
10.004717, 10.004717, 101189, 101189, 0
20.008212, 10.003495, 40939, 40939, 0
30.015633, 10.007421, 71263, 71263, 0
40.010247, 9.994614, 70478, 70478, 0
50.018859, 10.008612, 70607, 70607, 0
60.006157, 9.987298, 70585, 70585, 0
70.012891, 10.006734, 71586, 71586, 0
80.024189, 10.011298, 69814, 69814, 0
90.006578, 9.982389, 70392, 70392, 0
100.01489, 10.008312, 70121, 70121, 0
110.006386, 9.991496, 71431, 71431, 0
120.002411, 9.996025, 70297, 70297, 0
130.01611, 10.013699, 71327, 71327, 0
140.011167, 9.995057, 70479, 70479, 0
150.015443, 10.004276, 70982, 70982, 0
160.01659, 10.001147, 71122, 71122, 0
170.002417, 9.985827, 70840, 70840, 0
180.00713, 10.004713, 70445, 70445, 0
190.025411, 10.018281, 71345, 71345, 0
200.016338, 9.990927, 70930, 70930, 0
210.02316, 10.006822, 70585, 70585, 0
220.008927, 9.985767, 70506, 70506, 0
230.025473, 10.016546, 70990, 70990, 0
240.010818, 9.985345, 70346, 70346, 0
250.019183, 10.008365, 70181, 70181, 0
260.019085, 9.999902, 69980, 69980, 0
270.005082, 9.985997, 71092, 71092, 0
280.02007, 10.014988, 70202, 70202, 0
290.008911, 9.988841, 69870, 69870, 0
300.005578, 9.996667, 70260, 70260, 0
301.112149, 1.106571, 6834, 6834, 0
