elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.009934, 10.009934, 116968, 224, 441.9, 429, 601, 799, 1341, 32069, 0
20.012181, 10.002247, 54411, 234, 453.4, 441, 612, 821, 1246, 50591, 0
30.00838, 9.996199, 83350, 233, 456.4, 444, 616, 812, 1207, 49752, 0
40.005378, 9.996998, 83306, 232, 456.8, 443, 617, 815, 1232, 41881, 0
50.007052, 10.001674, 83275, 234, 456.8, 444, 616, 810, 1147, 33067, 0
60.010972, 10.00392, 83111, 238, 459.4, 447, 617, 822, 1238, 51557, 0
70.012348, 10.001376, 79798, 236, 473.0, 459, 638, 850, 1471, 33446, 0
80.005128, 9.99278, 80111, 233, 473.8, 465, 638, 840, 1212, 26795, 0
90.002203, 9.997075, 80561, 231, 472.0, 459, 634, 844, 1340, 130031, 0
100.013815, 10.011612, 80366, 232, 468.5, 457, 633, 839, 1251, 65235, 0
110.015049, 10.001234, 80496, 218, 470.2, 457, 633, 838, 1221, 49036, 0
120.013469, 9.99842, 80783, 233, 471.4, 459, 634, 840, 1238, 70568, 0
130.005995, 9.992526, 79998, 236, 471.1, 459, 634, 837, 1507, 42769, 0
140.009706, 10.003711, 79284, 234, 478.1, 468, 641, 855, 1233, 19823, 0
150.018448, 10.008742, 79512, 235, 475.8, 465, 640, 857, 1210, 32279, 0
160.007621, 9.989173, 79119, 235, 478.4, 463, 639, 848, 1591, 95903, 0
170.012323, 10.004702, 79436, 235, 477.6, 466, 644, 863, 1223, 33087, 0
180.007604, 9.995281, 79132, 232, 478.2, 467, 644, 849, 1279, 24897, 0
190.006294, 9.99869, 79608, 236, 476.1, 463, 639, 855, 1752, 34238, 0
200.01398, 10.007686, 84010, 234, 455.5, 445, 617, 815, 1175, 27925, 0
210.009459, 9.995479, 82894, 233, 457.5, 445, 618, 820, 1198, 45742, 0
220.015923, 10.006464, 82032, 233, 461.4, 446, 621, 825, 1922, 43288, 0
230.011891, 9.995968, 81341, 237, 467.9, 457, 631, 841, 1235, 23511, 0
240.011759, 9.999868, 80504, 230, 468.2, 457, 628, 835, 1197, 39211, 0
250.015176, 10.003417, 86640, 231, 441.9, 428, 599, 787, 1258, 35070, 0
260.000983, 9.985807, 86427, 234, 440.4, 428, 598, 780, 1130, 36138, 0
270.016695, 10.015712, 86825, 233, 438.6, 425, 591, 771, 1197, 32587, 0
280.003716, 9.987021, 87011, 229, 437.0, 422, 592, 780, 1266, 46513, 0
290.013263, 10.009547, 87107, 233, 436.0, 424, 591, 773, 1094, 38643, 0
300.011173, 9.99791, 87271, 231, 436.1, 424, 590, 776, 1130, 35821, 0
301.055852, 1.044679, 7069, 231, 435.9, 423, 589, 778, 1142, 32798, 0
