elapsed, window, total, successful, failed
10.009934, 10.009934, 116968, 116968, 0
20.012181, 10.002247, 54411, 54411, 0
30.00838, 9.996199, 83350, 83350, 0
40.005378, 9.996998, 83306, 83306, 0
50.007052, 10.001674, 83275, 83275, 0
60.010972, 10.00392, 83111, 83111, 0
70.012348, 10.001376, 79798, 79798, 0
80.005128, 9.99278, 80111, 80111, 0
90.002203, 9.997075, 80561, 80561, 0
100.013815, 10.011612, 80366, 80366, 0
110.015049, 10.001234, 80496, 80496, 0
120.013469, 9.99842, 80783, 80783, 0
130.005995, 9.992526, 79998, 79998, 0
140.009706, 10.003711, 79284, 79284, 0
150.018448, 10.008742, 79512, 79512, 0
160.007621, 9.989173, 79119, 79119, 0
170.012323, 10.004702, 79436, 79436, 0
180.007604, 9.995281, 79132, 79132, 0
190.006294, 9.99869, 79608, 79608, 0
200.01398, 10.007686, 84010, 84010, 0
210.009459, 9.995479, 82894, 82894, 0
220.015923, 10.006464, 82032, 82032, 0
230.011891, 9.995968, 81341, 81341, 0
240.011759, 9.999868, 80504, 80504, 0
250.015176, 10.003417, 86640, 86640, 0
260.000983, 9.985807, 86427, 86427, 0
270.016695, 10.015712, 86825, 86825, 0
280.003716, 9.987021, 87011, 87011, 0
290.013263, 10.009547, 87107, 87107, 0
300.011173, 9.99791, 87271, 87271, 0
301.055852, 1.044679, 7069, 7069, 0
