elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.009721, 10.009721, 84055, 371, 728.8, 717, 953, 1104, 2076, 34317, 0
20.014509, 10.004788, 22225, 399, 730.3, 714, 949, 1101, 2006, 55313, 0
30.010555, 9.996046, 53020, 394, 728.4, 713, 949, 1106, 2379, 54859, 0
40.002863, 9.992308, 53607, 395, 721.0, 708, 942, 1091, 1586, 44619, 0
50.025036, 10.022173, 53693, 396, 720.0, 705, 940, 1088, 1881, 48832, 0
60.025422, 10.000386, 53420, 390, 723.4, 708, 944, 1087, 2061, 43303, 0
70.023191, 9.997769, 52491, 391, 731.5, 720, 955, 1094, 1505, 34433, 0
80.032671, 10.00948, 52658, 390, 731.6, 717, 954, 1100, 1611, 41758, 0
90.020913, 9.988242, 52840, 383, 729.1, 714, 948, 1091, 1993, 38568, 0
100.015905, 9.994992, 53094, 394, 729.0, 716, 951, 1097, 1478, 111441, 0
110.026754, 10.010849, 53236, 383, 726.3, 713, 945, 1091, 1660, 64017, 0
120.009632, 9.982878, 52633, 379, 729.2, 713, 951, 1094, 1907, 39316, 0
130.032049, 10.022417, 52859, 385, 731.3, 717, 954, 1101, 1709, 39614, 0
140.007041, 9.974992, 52905, 384, 728.2, 713, 949, 1096, 1615, 42475, 0
150.002804, 9.995763, 53708, 393, 720.6, 704, 936, 1090, 2009, 62132, 0
160.030531, 10.027727, 52911, 398, 728.5, 715, 946, 1094, 1622, 61061, 0
170.025891, 9.99536, 52925, 395, 730.6, 715, 949, 1102, 1977, 61061, 0
180.012206, 9.986315, 52917, 388, 727.4, 710, 951, 1105, 2640, 43027, 0
190.01237, 10.000164, 53344, 394, 728.0, 710, 945, 1089, 1558, 114808, 0
200.00374, 9.99137, 52784, 395, 729.0, 714, 950, 1102, 1645, 47270, 0
210.010828, 10.007088, 53202, 385, 725.3, 710, 946, 1094, 2369, 33696, 0
220.032029, 10.021201, 52631, 395, 733.6, 722, 956, 1101, 1594, 17537, 0
230.01978, 9.987751, 52941, 395, 729.0, 715, 951, 1101, 1818, 27296, 0
240.013128, 9.993348, 52699, 389, 734.3, 716, 950, 1104, 2394, 112768, 0
250.003769, 9.990641, 53080, 396, 727.7, 714, 949, 1094, 1687, 57006, 0
260.036237, 10.032468, 53246, 380, 727.3, 711, 946, 1096, 2106, 112343, 0
270.012239, 9.976002, 52859, 389, 725.0, 709, 942, 1084, 2355, 34000, 0
280.002755, 9.990516, 53653, 385, 719.9, 706, 937, 1081, 1529, 41898, 0
290.020412, 10.017657, 53498, 402, 722.3, 709, 942, 1092, 1673, 42689, 0
300.001287, 9.980875, 52394, 390, 733.8, 716, 957, 1115, 2387, 69224, 0
301.169186, 1.167899, 5627, 390, 735.0, 715, 956, 1112, 2505, 121900, 0
