elapsed, window, total, successful, failed
10.009721, 10.009721, 84055, 84055, 0
20.014509, 10.004788, 22225, 22225, 0
30.010555, 9.996046, 53020, 53020, 0
40.002863, 9.992308, 53607, 53607, 0
50.025036, 10.022173, 53693, 53693, 0
60.025422, 10.000386, 53420, 53420, 0
70.023191, 9.997769, 52491, 52491, 0
80.032671, 10.00948, 52658, 52658, 0
90.020913, 9.988242, 52840, 52840, 0
100.015905, 9.994992, 53094, 53094, 0
110.026754, 10.010849, 53236, 53236, 0
120.009632, 9.982878, 52633, 52633, 0
130.032049, 10.022417, 52859, 52859, 0
140.007041, 9.974992, 52905, 52905, 0
150.002804, 9.995763, 53708, 53708, 0
160.030531, 10.027727, 52911, 52911, 0
170.025891, 9.99536, 52925, 52925, 0
180.012206, 9.986315, 52917, 52917, 0
190.01237, 10.000164, 53344, 53344, 0
200.00374, 9.99137, 52784, 52784, 0
210.010828, 10.007088, 53202, 53202, 0
220.032029, 10.021201, 52631, 52631, 0
230.01978, 9.987751, 52941, 52941, 0
240.013128, 9.993348, 52699, 52699, 0
250.003769, 9.990641, 53080, 53080, 0
260.036237, 10.032468, 53246, 53246, 0
270.012239, 9.976002, 52859, 52859, 0
280.002755, 9.990516, 53653, 53653, 0
290.020412, 10.017657, 53498, 53498, 0
300.001287, 9.980875, 52394, 52394, 0
301.169186, 1.167899, 5627, 5627, 0
